event_type,event_slug,duration_minutes,start,end,timezone,invitees_remaining,booking_url
Quick Chat,quick-chat,15,2026-09-14T08:00:00-05:00,2026-09-14T08:15:00-05:00,America/Chicago,1,https://calendly.com/demo-host/quick-chat/2026-09-14T13:00:00Z
Coffee Chat,coffee-chat,20,2026-09-14T08:00:00-05:00,2026-09-14T08:20:00-05:00,America/Chicago,1,https://calendly.com/demo-host/coffee-chat/2026-09-14T13:00:00Z
Team Intro,team-intro,30,2026-09-14T08:00:00-05:00,2026-09-14T08:30:00-05:00,America/Chicago,1,https://calendly.com/demo-host/team-intro/2026-09-14T13:00:00Z
Quick Chat,quick-chat,15,2026-09-14T08:15:00-05:00,2026-09-14T08:30:00-05:00,America/Chicago,1,https://calendly.com/demo-host/quick-chat/2026-09-14T13:15:00Z
Coffee Chat,coffee-chat,20,2026-09-14T08:15:00-05:00,2026-09-14T08:35:00-05:00,America/Chicago,1,https://calendly.com/demo-host/coffee-chat/2026-09-14T13:15:00Z
Team Intro,team-intro,30,2026-09-14T08:15:00-05:00,2026-09-14T08:45:00-05:00,America/Chicago,1,https://calendly.com/demo-host/team-intro/2026-09-14T13:15:00Z
Quick Chat,quick-chat,15,2026-09-14T08:30:00-05:00,2026-09-14T08:45:00-05:00,America/Chicago,1,https://calendly.com/demo-host/quick-chat/2026-09-14T13:30:00Z
Coffee Chat,coffee-chat,20,2026-09-14T08:30:00-05:00,2026-09-14T08:50:00-05:00,America/Chicago,1,https://calendly.com/demo-host/coffee-chat/2026-09-14T13:30:00Z
Team Intro,team-intro,30,2026-09-14T08:30:00-05:00,2026-09-14T09:00:00-05:00,America/Chicago,1,https://calendly.com/demo-host/team-intro/2026-09-14T13:30:00Z
Quick Chat,quick-chat,15,2026-09-14T08:45:00-05:00,2026-09-14T09:00:00-05:00,America/Chicago,1,https://calendly.com/demo-host/quick-chat/2026-09-14T13:45:00Z
Coffee Chat,coffee-chat,20,2026-09-14T08:45:00-05:00,2026-09-14T09:05:00-05:00,America/Chicago,1,https://calendly.com/demo-host/coffee-chat/2026-09-14T13:45:00Z
Team Intro,team-intro,30,2026-09-14T08:45:00-05:00,2026-09-14T09:15:00-05:00,America/Chicago,1,https://calendly.com/demo-host/team-intro/2026-09-14T13:45:00Z
Quick Chat,quick-chat,15,2026-09-14T09:00:00-05:00,2026-09-14T09:15:00-05:00,America/Chicago,1,https://calendly.com/demo-host/quick-chat/2026-09-14T14:00:00Z
Coffee Chat,coffee-chat,20,2026-09-14T09:00:00-05:00,2026-09-14T09:20:00-05:00,America/Chicago,1,https://calendly.com/demo-host/coffee-chat/2026-09-14T14:00:00Z
Team Intro,team-intro,30,2026-09-14T09:00:00-05:00,2026-09-14T09:30:00-05:00,America/Chicago,1,https://calendly.com/demo-host/team-intro/2026-09-14T14:00:00Z
Quick Chat,quick-chat,15,2026-09-14T09:15:00-05:00,2026-09-14T09:30:00-05:00,America/Chicago,1,https://calendly.com/demo-host/quick-chat/2026-09-14T14:15:00Z
Coffee Chat,coffee-chat,20,2026-09-14T09:15:00-05:00,2026-09-14T09:35:00-05:00,America/Chicago,1,https://calendly.com/demo-host/coffee-chat/2026-09-14T14:15:00Z
Team Intro,team-intro,30,2026-09-14T09:15:00-05:00,2026-09-14T09:45:00-05:00,America/Chicago,1,https://calendly.com/demo-host/team-intro/2026-09-14T14:15:00Z
Quick Chat,quick-chat,15,2026-09-14T09:30:00-05:00,2026-09-14T09:45:00-05:00,America/Chicago,1,https://calendly.com/demo-host/quick-chat/2026-09-14T14:30:00Z
Coffee Chat,coffee-chat,20,2026-09-14T09:30:00-05:00,2026-09-14T09:50:00-05:00,America/Chicago,1,https://calendly.com/demo-host/coffee-chat/2026-09-14T14:30:00Z
Team Intro,team-intro,30,2026-09-14T09:30:00-05:00,2026-09-14T10:00:00-05:00,America/Chicago,1,https://calendly.com/demo-host/team-intro/2026-09-14T14:30:00Z
Quick Chat,quick-chat,15,2026-09-14T09:45:00-05:00,2026-09-14T10:00:00-05:00,America/Chicago,1,https://calendly.com/demo-host/quick-chat/2026-09-14T14:45:00Z
Coffee Chat,coffee-chat,20,2026-09-14T09:45:00-05:00,2026-09-14T10:05:00-05:00,America/Chicago,1,https://calendly.com/demo-host/coffee-chat/2026-09-14T14:45:00Z
Team Intro,team-intro,30,2026-09-14T09:45:00-05:00,2026-09-14T10:15:00-05:00,America/Chicago,1,https://calendly.com/demo-host/team-intro/2026-09-14T14:45:00Z
Quick Chat,quick-chat,15,2026-09-14T10:00:00-05:00,2026-09-14T10:15:00-05:00,America/Chicago,1,https://calendly.com/demo-host/quick-chat/2026-09-14T15:00:00Z
Coffee Chat,coffee-chat,20,2026-09-14T10:00:00-05:00,2026-09-14T10:20:00-05:00,America/Chicago,1,https://calendly.com/demo-host/coffee-chat/2026-09-14T15:00:00Z
Team Intro,team-intro,30,2026-09-14T10:00:00-05:00,2026-09-14T10:30:00-05:00,America/Chicago,1,https://calendly.com/demo-host/team-intro/2026-09-14T15:00:00Z
Quick Chat,quick-chat,15,2026-09-14T10:15:00-05:00,2026-09-14T10:30:00-05:00,America/Chicago,1,https://calendly.com/demo-host/quick-chat/2026-09-14T15:15:00Z
Working Session,working-session,45,2026-09-14T11:00:00-05:00,2026-09-14T11:45:00-05:00,America/Chicago,1,https://calendly.com/demo-host/working-session/2026-09-14T16:00:00Z
Working Session,working-session,45,2026-09-14T11:15:00-05:00,2026-09-14T12:00:00-05:00,America/Chicago,1,https://calendly.com/demo-host/working-session/2026-09-14T16:15:00Z
Working Session,working-session,45,2026-09-14T11:30:00-05:00,2026-09-14T12:15:00-05:00,America/Chicago,1,https://calendly.com/demo-host/working-session/2026-09-14T16:30:00Z
Working Session,working-session,45,2026-09-14T11:45:00-05:00,2026-09-14T12:30:00-05:00,America/Chicago,1,https://calendly.com/demo-host/working-session/2026-09-14T16:45:00Z
Working Session,working-session,45,2026-09-14T12:00:00-05:00,2026-09-14T12:45:00-05:00,America/Chicago,1,https://calendly.com/demo-host/working-session/2026-09-14T17:00:00Z
Working Session,working-session,45,2026-09-14T12:15:00-05:00,2026-09-14T13:00:00-05:00,America/Chicago,1,https://calendly.com/demo-host/working-session/2026-09-14T17:15:00Z
Deep Dive,deep-dive,60,2026-09-14T14:00:00-05:00,2026-09-14T15:00:00-05:00,America/Chicago,1,https://calendly.com/demo-host/deep-dive/2026-09-14T19:00:00Z
Deep Dive,deep-dive,60,2026-09-14T14:15:00-05:00,2026-09-14T15:15:00-05:00,America/Chicago,1,https://calendly.com/demo-host/deep-dive/2026-09-14T19:15:00Z
Deep Dive,deep-dive,60,2026-09-14T14:30:00-05:00,2026-09-14T15:30:00-05:00,America/Chicago,1,https://calendly.com/demo-host/deep-dive/2026-09-14T19:30:00Z
Deep Dive,deep-dive,60,2026-09-14T14:45:00-05:00,2026-09-14T15:45:00-05:00,America/Chicago,1,https://calendly.com/demo-host/deep-dive/2026-09-14T19:45:00Z
Deep Dive,deep-dive,60,2026-09-14T15:00:00-05:00,2026-09-14T16:00:00-05:00,America/Chicago,1,https://calendly.com/demo-host/deep-dive/2026-09-14T20:00:00Z
Deep Dive,deep-dive,60,2026-09-14T15:15:00-05:00,2026-09-14T16:15:00-05:00,America/Chicago,1,https://calendly.com/demo-host/deep-dive/2026-09-14T20:15:00Z
Deep Dive,deep-dive,60,2026-09-14T15:30:00-05:00,2026-09-14T16:30:00-05:00,America/Chicago,1,https://calendly.com/demo-host/deep-dive/2026-09-14T20:30:00Z
Quick Chat,quick-chat,15,2026-09-15T08:30:00-05:00,2026-09-15T08:45:00-05:00,America/Chicago,1,https://calendly.com/demo-host/quick-chat/2026-09-15T13:30:00Z
Advisor Call,advisor-call,25,2026-09-15T08:30:00-05:00,2026-09-15T08:55:00-05:00,America/Chicago,1,https://calendly.com/demo-host/advisor-call/2026-09-15T13:30:00Z
Team Intro,team-intro,30,2026-09-15T08:30:00-05:00,2026-09-15T09:00:00-05:00,America/Chicago,1,https://calendly.com/demo-host/team-intro/2026-09-15T13:30:00Z
Working Session,working-session,45,2026-09-15T08:30:00-05:00,2026-09-15T09:15:00-05:00,America/Chicago,1,https://calendly.com/demo-host/working-session/2026-09-15T13:30:00Z
Quick Chat,quick-chat,15,2026-09-15T08:45:00-05:00,2026-09-15T09:00:00-05:00,America/Chicago,1,https://calendly.com/demo-host/quick-chat/2026-09-15T13:45:00Z
Advisor Call,advisor-call,25,2026-09-15T08:45:00-05:00,2026-09-15T09:10:00-05:00,America/Chicago,1,https://calendly.com/demo-host/advisor-call/2026-09-15T13:45:00Z
Team Intro,team-intro,30,2026-09-15T08:45:00-05:00,2026-09-15T09:15:00-05:00,America/Chicago,1,https://calendly.com/demo-host/team-intro/2026-09-15T13:45:00Z
Working Session,working-session,45,2026-09-15T08:45:00-05:00,2026-09-15T09:30:00-05:00,America/Chicago,1,https://calendly.com/demo-host/working-session/2026-09-15T13:45:00Z
